system:index,AOD,date,.geo
MCD19A2_A2019138_h24v05_061_2023126081559_02,399.53633217993075,2019-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019138_h24v05_061_2023126081559_03,371.8423707440101,2019-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019139_h24v05_061_2023126085120_03,347.4123581336696,2019-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019139_h24v05_061_2023126085120_04,216.03783102143754,2019-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019140_h24v05_061_2023126093336_02,303.0970996216898,2019-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019140_h24v05_061_2023126093336_04,174.3518284993695,2019-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019141_h24v05_061_2023126100958_03,239.41235813366958,2019-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019141_h24v05_061_2023126100958_04,299.8058007566204,2019-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019143_h24v05_061_2023126111544_04,509.3089533417403,2019-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019145_h24v05_061_2023126122747_02,209.05044136191674,2019-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019145_h24v05_061_2023126122747_03,210.34300126103403,2019-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019146_h24v05_061_2023126125352_01,132.39344262295083,2019-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019146_h24v05_061_2023126125352_03,181.02143757881464,2019-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019146_h24v05_061_2023126125352_04,315.8865069356873,2019-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019147_h24v05_061_2023126132446_02,332.8568376068377,2019-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019147_h24v05_061_2023126132446_03,168.96343001261033,2019-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019147_h24v05_061_2023126132446_04,116.81336696090796,2019-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019148_h24v05_061_2023126135621_03,228.68978562421188,2019-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019148_h24v05_061_2023126135621_04,191.68600252206812,2019-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019149_h24v05_061_2023126143520_02,290.1790668348046,2019-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019149_h24v05_061_2023126143520_04,184.98108448928124,2019-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019150_h24v05_061_2023126152839_03,315.97856242118536,2019-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019150_h24v05_061_2023126152839_04,335.0088272383354,2019-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019151_h24v05_061_2023126155436_01,254.2719734660033,2019-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019151_h24v05_061_2023126155436_03,265.8955223880597,2019-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019152_h24v05_061_2023126162336_03,469.31314878892744,2019-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019152_h24v05_061_2023126162336_04,453.2688311688312,2019-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019153_h24v05_061_2023126165242_01,393.35056746532155,2019-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019153_h24v05_061_2023126165242_04,457.5882352941176,2019-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019154_h24v05_061_2023126173005_03,607.6746532156368,2019-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019156_h24v05_061_2023126185311_02,496.1651954602774,2019-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019156_h24v05_061_2023126185311_04,444.24313725490197,2019-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019158_h24v05_061_2023126195631_01,281.422446406053,2019-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019158_h24v05_061_2023126195631_03,249.40983606557376,2019-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019159_h24v05_061_2023126203524_03,472.7957124842371,2019-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019159_h24v05_061_2023126203524_04,423.21815889029,2019-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019160_h24v05_061_2023126210604_01,216.44766708701138,2019-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019160_h24v05_061_2023126210604_03,198.28247162673392,2019-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019161_h24v05_061_2023126215347_02,410.9609079445145,2019-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019161_h24v05_061_2023126215347_03,462.4817150063051,2019-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019162_h24v05_061_2023126222636_03,433.2064935064935,2019-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019163_h24v05_061_2023126225912_02,537.3077922077922,2019-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019163_h24v05_061_2023126225912_04,269.2143757881463,2019-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019164_h24v05_061_2023126233347_03,304.60781841109707,2019-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019164_h24v05_061_2023126233347_04,287.06305170239597,2019-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019165_h24v05_061_2023127002229_02,363.39635157545604,2019-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019165_h24v05_061_2023127002229_04,320.54981084489276,2019-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019167_h24v05_061_2023127013555_01,300.15132408575033,2019-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019167_h24v05_061_2023127013555_03,279.2156368221942,2019-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019168_h24v05_061_2023127020527_04,494.19550173010384,2019-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019169_h24v05_061_2023127023628_01,356.4085750315259,2019-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019169_h24v05_061_2023127023628_04,446.8292134831461,2019-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
