Date,Average of Temp_2m (celsius),Average of wind_speed,Average of relative_humidity %
11/9/2019,22.07702535,2.219069595,34.9009196
11/10/2019,22.5432068,1.110753811,31.63495382
11/11/2019,21.91941732,1.4858597,27.5957489
11/12/2019,21.02075602,1.504675299,37.05032348
11/13/2019,20.26448974,1.378313683,49.32922363
11/14/2019,21.70742695,0.966754874,50.65877279
11/15/2019,17.30070903,1.542332328,81.21546427
11/16/2019,17.50574646,1.967131227,77.35183716
11/17/2019,19.31372477,3.008316029,58.33002726
11/18/2019,20.53611653,2.546429782,41.41606649
11/19/2019,19.95355123,1.47923094,43.01859538
11/20/2019,18.48262939,0.92016514,54.95173136
11/21/2019,16.83411051,3.107834234,71.04268392
11/22/2019,15.39138183,2.592638188,77.73330688
11/23/2019,18.0184316,2.075182041,64.27978516
11/24/2019,18.99857992,1.103348237,54.41668193
11/25/2019,19.86667277,1.226300036,57.72107442
11/26/2019,18.1919342,1.043812562,64.98163859
11/27/2019,14.87296955,1.462707216,82.21331279
11/28/2019,16.12569071,0.96093221,68.55201721
11/29/2019,16.85382486,0.974273907,43.31871033
11/30/2019,18.42129415,2.480466054,37.34611511
12/1/2019,18.23559469,1.981676342,32.76023865
12/2/2019,18.15067952,2.134082718,28.24030558
12/3/2019,18.22770589,2.194345129,27.49186198
12/4/2019,18.02640686,0.993188981,24.18841044
12/5/2019,17.03195089,0.835294317,44.90689596
12/6/2019,17.47172445,1.814967806,40.23475647
12/7/2019,18.56010844,1.584109339,25.44158936
12/8/2019,17.69880067,1.22856372,29.10181681
12/9/2019,16.27518616,0.648230837,41.23797099
12/10/2019,15.37853394,1.280472976,50.45435588
12/11/2019,15.41556193,0.739436259,63.60374451
12/12/2019,13.60775146,2.208854906,70.58954875
12/13/2019,11.33905944,0.736748285,80.69307963
12/14/2019,12.15255127,2.303987299,81.74964905
12/15/2019,13.99310201,1.875352901,66.02015178
12/16/2019,15.32924296,2.35639442,40.26616414
12/17/2019,15.3600708,1.846691871,37.8280131
12/18/2019,13.79151814,1.249866474,41.39076233
12/19/2019,12.93998109,0.920226936,52.79444377
12/20/2019,12.81107483,1.166931877,64.75822449
12/21/2019,13.88008017,1.389152221,68.97796631
12/22/2019,15.33846944,1.931552841,52.92388916
12/23/2019,14.70933431,1.336597738,44.07114665
12/24/2019,13.0836324,0.857642357,60.80436707
12/25/2019,13.15143737,2.133048829,46.97349548
12/26/2019,13.40466207,1.845459084,37.04869588
12/27/2019,12.31068318,0.963903079,42.92950948
12/28/2019,11.27784627,0.989847314,58.66681417
12/29/2019,12.35848389,1.120089501,65.38464864
12/30/2019,12.30482381,1.398930783,59.16119893
12/31/2019,10.53125407,2.32236415,66.68446859
1/1/2020,13.03418375,1.10865975,44.97380575
1/2/2020,14.40200195,1.639363551,45.17295837
1/3/2020,13.50891012,2.299549461,57.14810689
1/4/2020,13.86865133,0.829176658,63.49522908
1/5/2020,10.95010274,1.575954218,62.06771851
1/6/2020,9.176960246,1.46915061,83.36214701
1/7/2020,9.132653812,1.502180513,88.22331746
1/8/2020,10.90898539,2.01748931,73.52973938
1/9/2020,12.39170227,2.18944257,61.91452026
1/10/2020,13.616922,2.345777913,38.21685791
1/11/2020,12.48587443,1.35733094,45.85319519
1/12/2020,13.7784617,2.94635694,63.29147339
1/13/2020,8.168898519,3.555288643,91.65519714
